trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,0,-3.575790171391356,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.3244455298634257}",30,7,-0.1729919944881636,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,7,21.71047042514016,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,0,-9.470651021335007,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,7,-16.701323976118704,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,0,-29.54999588914113,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,6,25.563721816879603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3054590259283046}",30,9,-1.6720286186307822,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30240443566902153}",30,16,16.831293307262285,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,16,7.143961949397595,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.296386587399208}",20,0,-3.242404734920489,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,12,18.770897506838217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,-64.87301594973276,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,0,-5.0785813418467525,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,10,5.153444137659163,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,10,17.141921199036023,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,8,23.95561042763299,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,1,18.807337929404685,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2734891510222162}",30,0,1.7039463675636024,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.27075425951199406}",30,16,-52.99871366667091,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.2680467169168741}",20,3,-5.11374366448889,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26536624974770534}",30,16,13.638867395709983,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,8,-17.961423919776518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,10,6.463413362726534,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.25748460676394874}",25,0,34.64821047462489,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,7,21.7985007817441,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,12,13.649375864959561,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2498370564584527}",25,14,21.341566082346667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,5,14.226667650529071,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24486529903492948}",25,15,17.453090503694114,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2424166460445802}",25,3,-10.121584945823738,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.2399924795841344}",20,1,6.205194210704866,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,14,8.753950276374658,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23521662924041012}",30,0,39.41389685751757,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.232864462948006}",20,7,-60.88198482108701,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,3,1.8680529843600508,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,1,5.07721543273523,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,15,19.828705065552366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.2236886739786474}",25,0,25.643319279215266,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.22145178723886091}",35,16,-26.84311508027668,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.2192372693664723}",35,15,-48.080727898197054,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.21704489667280757}",20,6,24.03474391189232,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2148744477060795}",25,10,31.93500725546504,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,0,17.894100426926162,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,0,-37.8139457140248,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.20849246173476124}",20,16,6.269596773726414,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,18,-9.696173464606971,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2043434617462395}",20,11,14.537417739866157,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2023000271287771}",20,6,-0.4992334395021065,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.2002770268574893}",25,10,16.471411093780617,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
